Date,Reference,Amount
1 Jan 2023,UC000000001,753.27
1 Jan 2023,UC000000002,102.23
1 Jan 2023,UC000000003,883.48
1 Jan 2023,UC000000004,381.28
1 Jan 2023,UC000000005,518.96
1 Jan 2023,UC000000006,621.56
1 Jan 2023,UC000000007,972.55
1 Jan 2023,UC000000008,239.01
1 Jan 2023,UC000000009,506.26
1 Jan 2023,UC000000010,322.34
1 Jan 2023,UC000000011,964.66
1 Jan 2023,UC000000012,263.46
1 Jan 2023,UC000000013,923.39
1 Jan 2023,UC000000014,760.34
1 Jan 2023,UC000000015,996.25
1 Jan 2023,UC000000016,942.85
1 Jan 2023,UC000000017,41.33
1 Jan 2023,UC000000018,200.34
1 Jan 2023,UC000000019,503.46
1 Jan 2023,UC000000020,103.07
1 Jan 2023,UC000000021,41.62
1 Jan 2023,UC000000022,439.25
1 Jan 2023,UC000000023,60.46
1 Jan 2023,UC000000024,576.84
1 Jan 2023,UC000000025,757.22
1 Jan 2023,UC000000026,462.96
1 Jan 2023,UC000000027,94.55
1 Jan 2023,UC000000028,66.44
1 Jan 2023,UC000000029,445.37
1 Jan 2023,UC000000030,749.92
1 Jan 2023,UC000000031,217.55
1 Jan 2023,UC000000032,416.74
1 Jan 2023,UC000000033,67.25
1 Jan 2023,UC000000034,494.98
1 Jan 2023,UC000000035,819.58
1 Jan 2023,UC000000036,62.53
1 Jan 2023,UC000000037,54.67
1 Jan 2023,UC000000038,618.26
1 Jan 2023,UC000000039,125.12
1 Jan 2023,UC000000040,633.44
1 Jan 2023,UC000000041,146.41
1 Jan 2023,UC000000042,364.21
1 Jan 2023,UC000000043,238.09
1 Jan 2023,UC000000044,880.44
1 Jan 2023,UC000000045,546.18
1 Jan 2023,UC000000046,346.14
1 Jan 2023,UC000000047,323.6
1 Jan 2023,UC000000048,315.55
1 Jan 2023,UC000000049,375.99
1 Jan 2023,UC000000050,427.97
1 Jan 2023,UC000000051,255.9
1 Jan 2023,UC000000052,471.14
1 Jan 2023,UC000000053,147.65
1 Jan 2023,UC000000054,97.42
1 Jan 2023,UC000000055,387.24
1 Jan 2023,UC000000056,264.72
1 Jan 2023,UC000000057,991.72
1 Jan 2023,UC000000058,568.6
1 Jan 2023,UC000000059,355.8
1 Jan 2023,UC000000060,582.86
1 Jan 2023,UC000000061,936.23
1 Jan 2023,UC000000062,968.25
1 Jan 2023,UC000000063,84.73
1 Jan 2023,UC000000064,213.59
1 Jan 2023,UC000000065,621.14
1 Jan 2023,UC000000066,313.39
1 Jan 2023,UC000000067,885.74
1 Jan 2023,UC000000068,565.11
1 Jan 2023,UC000000069,23.07
